,AC/HC_Precurs,Amacrine Cells,BC/Photo_Precurs,Bipolar Cells,Cones,Horizontal Cells,Muller Glia,Neurogenic Cells,RPCs,Retinal Ganglion Cells,Rods
Feature 1,0.0,0.012863390789812195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Feature 2,0.0,0.25726781579624386,100.0,1.4634860237084735,0.0,0.14531866306829977,0.0,0.0,0.0,0.0,0.0
Feature 3,0.7518796992481203,4.142011834319527,0.8963585434173669,14.839748280403922,1.6345954893440928,1.3909072036537264,11.602722772277229,0.7425742574257426,10.28679245283019,86.20353612696645,4.7751039435555
Feature 4,0.0,0.0,0.0,0.04390458071125421,0.0,0.0,7.766089108910891,0.0,0.0,99.97215648057914,0.0
Feature 5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509433962264151,100.0,0.0
Feature 7,0.0,0.11577051710830975,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 8,100.0,0.20581425263699513,0.0,3.995316844724133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.16981132075471697,0.0,0.0
Feature 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Feature 11,8.49624060150376,8.991510162078724,2.7450980392156863,0.05853944094833894,2.5863852679495136,8.615320739049201,99.62871287128714,14.25035360678925,11.528301886792452,2.700821383822915,2.38755197177775
Feature 12,99.3984962406015,2.379727296115256,0.0,2.8098931655202692,0.0,0.0,0.0,0.03536067892503536,0.0,0.0,0.23308554869598086
Feature 13,0.0,0.8103936197581683,0.0,0.1317137421337626,0.0,0.0,5.198019801980198,0.0,38.91320754716981,0.041765279131282196,99.64722187224392
Feature 14,0.6766917293233082,90.04373552868536,0.8963585434173669,6.08810185862725,2.1725636250775917,0.26987751712684244,17.97648514851485,5.551626591230551,70.04528301886792,6.209104830850619,14.930074335391206
Feature 15,0.4511278195488722,10.90815538976074,0.6722689075630253,1.0537099370701009,5.545210014483757,1.3701473946439693,99.81435643564357,0.2828854314002829,0.3660377358490566,77.19615759431993,0.018898828272647095
Feature 16,0.5263157894736842,11.242603550295858,0.0,4.024586565198303,0.8069522036002483,25.264687564874404,99.62871287128714,0.1768033946251768,0.04905660377358491,10.21857162745371,0.05669648481794129
Feature 17,0.8270676691729323,20.76151273475688,0.22408963585434172,12.044489975120738,0.9104076143182288,20.69752958272784,98.45297029702971,0.49504950495049505,1.6905660377358491,4.7055547821244605,0.5543656293309815
Feature 18,0.0,0.038590172369436584,0.0,4.258744328991658,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 19,0.0,0.0,0.0,0.8049173130396605,0.0,0.0,100.0,0.0,0.0,0.0,0.08819453193901979
Feature 20,0.9774436090225564,6.251607923848726,1.5126050420168067,3.848968242353285,4.924477550175874,6.207182893917376,3.217821782178218,2.5106082036775104,20.867924528301888,7.7544201587080615,61.074713367771196
Feature 21,0.0,0.11577051710830975,0.16806722689075632,11.224937801843993,9.290295882474652,0.08303923603902845,12.871287128712872,0.0,0.022641509433962263,99.73548656550187,74.07080760992818
Feature 22,1.4285714285714286,8.708515564702855,2.5770308123249297,27.235474901214694,6.9315125181046975,6.643138883122275,9.931930693069308,3.9603960396039604,39.09811320754717,8.631491020464987,22.27541892402671
Feature 23,0.5263157894736842,4.51505016722408,1.6246498599439778,63.7640860529782,4.241671839437203,5.314511106497821,14.232673267326732,1.379066478076379,33.50188679245283,4.427119587915913,15.767922388811895
Feature 24,0.0,0.0,100.0,0.02926972047416947,0.0,0.0,85.11757425742574,0.0,0.1471698113207547,0.0,0.0
Feature 25,0.0,0.0,0.0,0.0,0.0,0.0,0.06188118811881188,0.0,0.07547169811320754,0.0,100.0
Feature 26,0.0,0.06431695394906096,0.0,0.02926972047416947,0.06207324643078833,0.0,0.03094059405940594,99.92927864214994,0.5547169811320755,0.0,0.0
Feature 27,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Feature 28,0.0,0.02572678157962439,0.0,0.8634567539879994,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Feature 29,0.0,0.02572678157962439,0.0,0.0,0.0,0.0,0.0,100.0,0.06792452830188679,0.0,0.0
Feature 30,0.0,0.14149729868793415,6.050420168067227,4.097760866383727,17.23567142561556,98.94124974050239,1.6398514851485149,0.2828854314002829,0.13584905660377358,0.027843519420854796,14.432405190878164
Feature 31,0.0,99.02238229997428,0.44817927170868344,0.30733206497877946,0.4138216428719222,0.020759809009757112,0.0,2.934936350777935,17.554716981132078,0.041765279131282196,15.484439964722188
Feature 32,0.0,0.05145356315924878,0.0,0.1317137421337626,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Feature 33,11.879699248120302,2.5598147671726266,2.1288515406162465,0.8195521732767451,0.8897165321746328,0.3321569441561138,95.60643564356435,3.9250353606789252,16.90188679245283,4.12084087428651,0.42837344084666756
Feature 34,3.6090225563909777,37.84409570362748,2.072829131652661,5.28318454558759,2.4208566108007448,21.98463774133278,0.9900990099009901,2.6874115983026874,23.10188679245283,20.43714325490742,85.48569988660702
Feature 35,1.1278195488721803,1.2863390789812195,0.05602240896358543,0.0,1.2621560107593628,2.1590201370147395,99.9690594059406,0.10608203677510608,0.07547169811320754,17.889461227899204,0.0
Feature 36,0.0,0.012863390789812195,0.0,4.990487340845895,99.87585350713843,0.0,0.0,0.0,0.007547169811320755,0.0,0.21418672042333378
Feature 37,5.413533834586466,10.818111654232055,0.5602240896358543,0.17561832284501683,0.4965859714463066,9.134315964293128,99.72153465346535,0.3536067892503536,0.8943396226415095,2.491994988166504,0.32757969005921633
Feature 38,0.0,99.97427321842038,0.0,0.0,0.12414649286157665,0.0,74.35024752475248,0.0,0.0,0.0,0.08819453193901979
Feature 39,0.0,0.0,0.0,5.4148982877213525,6.724601696668736,0.0,0.0,0.0,0.0,100.0,28.285246314728486
Feature 40,0.0,0.038590172369436584,0.0,0.0,0.04138216428719222,0.041519618019514225,100.0,0.0,0.03018867924528302,0.0,0.031498047121078496
Feature 41,0.0,0.11577051710830975,0.0,28.669691204449,0.04138216428719222,0.0,0.0,100.0,0.0,0.0,0.17638906387803957
Feature 42,0.0,99.97427321842038,0.0,0.07317430118542367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 43,0.0,0.038590172369436584,0.0,0.20488804331918628,100.0,0.08303923603902845,0.0,0.0,0.0,0.0,0.0
Feature 44,0.0,0.11577051710830975,0.0,0.07317430118542367,0.0,99.97924019099025,0.0,0.0,0.0,0.0,0.0
Feature 45,0.15037593984962408,0.09004373552868536,0.05602240896358543,0.19025318308210157,98.69646182495345,0.12455885405854267,1.3304455445544554,0.1768033946251768,6.343396226415095,0.13921759710427398,0.17008945445382387
Feature 46,0.4511278195488722,3.8461538461538463,0.5602240896358543,3.8928728230645393,1.1793916821849781,3.155490969483081,1.2066831683168318,2.369165487977369,23.347169811320757,3.0906306557148824,88.74259795892655
Feature 47,0.2255639097744361,0.2315410342166195,0.2801120448179272,1.11224937801844,1.5932133250569005,0.020759809009757112,98.29826732673267,7.531824611032532,10.415094339622641,0.7796185437839342,2.1229683759606903
Feature 48,0.9022556390977444,1.8266014921533316,0.44817927170868344,4.44899751207376,0.951789778605421,93.25306207182894,0.12376237623762376,0.4596888260254597,2.320754716981132,0.6543227063900877,1.9654781403552979
Feature 49,0.15037593984962408,0.6946231026498585,1.680672268907563,2.6196399824381675,1.510448996482516,0.7473531243512559,90.00618811881188,5.445544554455446,23.743396226415094,0.4176527913128219,11.106211414892277
Feature 50,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Feature 51,1.2030075187969926,6.984821198868022,1.5686274509803921,41.021513244548515,3.972687771570453,4.774756072244135,39.665841584158414,3.3239038189533243,31.966037735849056,10.691911457608242,14.136323547940027
Feature 52,0.8270676691729323,8.013892462052997,8.4593837535014,13.273818235035856,3.6209393751293195,44.716628607016816,5.785891089108911,3.1117397454031117,27.958490566037735,7.1418627314492555,27.510394355549955
Feature 53,0.0,0.0,0.0,0.35123664569003366,0.0,0.0,0.0,0.0,99.99622641509434,0.0,0.05039687539372559
Feature 54,2.030075187969925,6.367378440957036,1.1764705882352942,5.4880725889067765,2.6691495965238983,3.4668881046294375,82.20915841584159,0.9900990099009901,5.283018867924529,4.580258944730614,10.249464533198942
Feature 55,68.49624060150376,2.842809364548495,1.0644257703081232,7.229620957119859,7.635009310986965,1.141789495536641,1.2685643564356437,2.6874115983026874,21.645283018867925,5.888904357510789,18.098777875771702
Feature 56,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 57,0.0,100.0,0.0,0.0,0.0,0.0,2.1658415841584158,0.0,0.0,0.0,0.0
Feature 58,99.17293233082707,0.12863390789812193,0.05602240896358543,0.2634274842675252,0.02069108214359611,0.1660784720780569,0.12376237623762376,0.0,0.4716981132075472,0.09745231797299178,0.34647851833186344
Feature 59,0.7518796992481203,19.359403138667354,1.4565826330532212,3.9075076833016245,0.8483343678874405,6.310981938966162,97.24628712871286,0.31824611032531824,6.577358490566038,2.380620910483085,5.562555121582462
Feature 60,1.0526315789473684,2.456907640854129,0.0,0.20488804331918628,1.4069935857645355,1.2455885405854268,97.74133663366337,0.24752475247524752,6.09433962264151,41.208408742865096,0.04409726596950989
Feature 61,0.07518796992481204,0.8103936197581683,0.0,2.1805941753256253,0.35174839644113387,0.9964708324683413,0.03094059405940594,0.10608203677510608,2.29811320754717,97.02074342196853,6.2807105959430505
Feature 62,0.7518796992481203,3.112940571134551,1.0644257703081232,1.0390750768330161,0.6621146285950755,1.0795100685073697,95.66831683168317,3.9603960396039604,50.407547169811316,2.9514130586106084,0.8378480534206879
Feature 63,1.0526315789473684,0.07718034473887317,0.05602240896358543,0.05853944094833894,0.6828057107386716,0.0,99.62871287128714,1.4497878359264498,4.539622641509434,8.046777112627037,0.05669648481794129
Feature 64,0.0,0.0,0.0,0.0,0.0,0.08303923603902845,84.28217821782178,0.0,10.716981132075471,99.98607824028957,0.0
Feature 65,0.37593984962406013,5.196809879084126,0.7843137254901961,30.264890970291237,2.9588247465342437,2.9271330703757528,2.9702970297029703,0.9547383309759547,11.366037735849057,5.83321731866908,72.04233337533073
Feature 66,0.6766917293233082,3.473115513249293,0.2801120448179272,0.02926972047416947,1.510448996482516,6.954536018268633,96.8440594059406,0.10608203677510608,5.69811320754717,3.8563274397883895,0.15749023560539246
Feature 67,0.0,0.4502186776434268,0.0,11.078589199473145,0.04138216428719222,0.7473531243512559,99.9381188118812,0.0,0.0,0.0,0.08819453193901979
Feature 68,0.9022556390977444,3.280164651402109,0.39215686274509803,82.2625493926533,2.0484171322160147,1.9721818559269255,1.0829207920792079,0.9547383309759547,11.833962264150944,2.770430182375052,6.564193020032757
