,Amacrine Cells,Bipolar Cells,Cones,Early RPCs,Horizontal Cells,Late RPCs,Muller Glia,Neurogenic Cells,Photoreceptor Precursors,Retinal Ganglion Cells,Rods
Feature 1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Feature 3,0.7107184018440261,0.3163305654408857,0.56657223796034,0.8564541771372891,0.08857395925597875,3.9162964694879587,1.7117614577581448,97.10646328039,0.3141831238779174,0.6852551984877127,3.2554010062148566
Feature 4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Feature 5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Feature 7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Feature 8,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Feature 9,0.0,0.0,0.0,0.03077080875942356,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Feature 10,0.0,0.0,100.0,0.010256936253141188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 11,0.9796388782174413,0.07908264136022143,0.12140833670578711,0.23078106569567672,0.354295837023915,12.865326163198503,0.0,20.52209466897311,0.763016157989228,0.33081285444234404,98.87540692512577
Feature 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Feature 13,0.0,0.0,0.0,2.4514077645007437,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 14,0.0384172109104879,0.0,0.08093889113719142,3.1899071747269088,99.82285208148805,64.41430909516016,0.0,0.8649158672747287,0.0,0.0,0.0
Feature 15,0.0,0.0,99.95953055443141,0.0,0.0,0.0,0.0,0.0,0.0,18.64366729678639,0.0
Feature 16,0.01920860545524395,0.0,0.0,0.0,10.186005314437557,0.0,0.0,99.96854851391728,0.0,6.545368620037808,0.0
Feature 17,0.0,0.0,0.0,0.0,2.1257750221434897,0.0,100.0,0.0,0.0,0.7561436672967864,0.0
Feature 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Feature 19,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 20,2.7468305800998847,0.9489916963226572,2.954269526507487,8.426073131955485,0.70859167404783,6.277764788403087,81.28106018774159,2.1072495675420666,0.7854578096947935,1.890359168241966,9.144717372003552
Feature 21,0.0,0.3163305654408857,4.046944556859571,0.0,0.0,0.0,0.0,0.0,0.02244165170556553,100.0,57.91654335602249
Feature 22,2.0361121782558587,0.2372479240806643,0.9307972480777014,9.477409097902456,0.354295837023915,5.8919803600654665,99.55825510767532,3.9471615033810346,1.8177737881508078,0.945179584120983,0.19729703067968826
Feature 23,0.5762581636573185,0.11862396204033215,0.6070416835289356,6.066977793733011,0.0,43.58194996492869,0.44174489232468256,1.6669287623840228,1.7728904847396767,96.78638941398866,0.2663509914175792
Feature 24,0.0,0.0,0.0,0.005128468126570594,0.0,0.0,0.0,0.0,0.0,0.023629489603024575,100.0
Feature 25,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Feature 27,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 28,6.050710718401843,1.542111506524318,2.6305139619587212,21.324170470280528,1.41718334809566,15.951601589899461,0.6626173384870238,10.048749803428212,4.331238779174147,11.011342155009451,84.64042616158626
Feature 29,14.464079907798693,0.3163305654408857,0.9307972480777014,16.70342068824042,3.720106288751107,6.546644844517186,88.62506902263942,4.387482308539078,3.096947935368043,10.704158790170132,0.7201341619808622
Feature 30,0.0,0.0,3.925536220153784,0.0,0.0,0.0,0.0,99.7326623682969,21.47666068222621,0.0,3.0679688270691523
Feature 31,0.0,0.0,0.0,5.518231704189958,0.0,12.09960252513444,0.0,1.9657178801698378,0.0,0.0,99.96054059386407
Feature 32,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Feature 33,0.0,0.0,0.0,0.3743781732396533,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 34,26.546292739147137,0.0,99.83812221772563,0.0,2.0372010628875112,0.0,0.0,0.0,0.0,8.648393194706994,0.0
Feature 35,0.01920860545524395,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.444234404536864,0.0
Feature 36,5.5512869765655015,1.6211941478845395,3.5208417644678267,13.087850659008154,0.44286979627989376,16.22048164601356,3.4787410270568744,5.771347696178644,3.500897666068223,3.119092627599244,62.74045575614087
Feature 37,29.08182865923934,0.0,0.0,0.0,5.580159433126661,0.005845218611176058,99.94478188845942,0.06290297216543482,0.02244165170556553,17.344045368620037,0.0
